,Unnamed: 0,title,clean_title,studio,domestic_gross,foreign_gross,year,genre_imdb,genre_tndb,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,TV Movie,Thriller,War,Western,Biography,Sport,Musical
13,13,Tron Legacy,tron legacy,BV,172100000.0,228000000.0,2010,,"[12, 28, 878]",,,,,,,,,,,,,,,,,,,,,,
14,14,The Karate Kid,the karate kid,Sony,176600000.0,182500000.0,2010,"Action,Drama,Family","[28, 12, 18, 10751]",True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,False,False,False,False,False
15,15,Prince of Persia: The Sands of Time,prince of persia the sands of time,BV,90800000.0,245600000.0,2010,,"[12, 14, 28, 10749]",,,,,,,,,,,,,,,,,,,,,,
16,16,Black Swan,black swan,FoxS,107000000.0,222400000.0,2010,"Drama,Thriller","[18, 53]",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,True,False,False,False,False,False
17,17,Megamind,megamind,P/DW,148400000.0,173500000.0,2010,"Action,Animation,Comedy","[16, 28, 35, 10751, 878]",True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
18,18,Robin Hood,robin hood,Uni.,105300000.0,216400000.0,2010,"Action,Adventure,Drama","[28, 12, 18]",True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
19,19,The Last Airbender,the last airbender,Par.,131800000.0,187900000.0,2010,"Action,Adventure,Family","[28, 12, 10751, 14]",True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False
20,20,Little Fockers,little fockers,Uni.,148400000.0,162200000.0,2010,"Comedy,Romance","[35, 10749]",False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False
21,21,Resident Evil: Afterlife,resident evil afterlife,SGem,60100000.0,240100000.0,2010,"Action,Adventure,Horror","[28, 12, 27, 878]",True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False
22,22,Shutter Island,shutter island,Par.,128000000.0,166800000.0,2010,"Mystery,Thriller","[18, 53, 9648]",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,True,False,False,False,False,False
23,23,Salt,salt,Sony,118300000.0,175200000.0,2010,"Action,Mystery,Thriller","[28, 9648, 53]",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,True,False,False,False,False,False
24,24,Sex and the City 2,sex and the city 2,WB (NL),95300000.0,193000000.0,2010,"Comedy,Drama,Romance","[35, 18, 10749]",False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,False,False,False
25,25,The Tourist,the tourist,Sony,67600000.0,210700000.0,2010,"Action,Adventure,Thriller","[28, 53, 10749]",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False
26,26,The Expendables,the expendables,LGF,103100000.0,171400000.0,2010,"Action,Adventure,Thriller","[53, 12, 28]",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False
27,27,Grown Ups,grown ups,Sony,162000000.0,109400000.0,2010,Comedy,[35],False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
