,Unnamed: 0,clean_title,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,title,studio,domestic_grossbom,foreign_grossbom,year,worldwide_grossbom,Sport,Crime,News,Romance,Sci-Fi,Western,Horror,Drama,Family,nan,Mystery,Musical,Fantasy,Adventure,Documentary,Thriller,Comedy,Reality-TV,Music,History,Action,Animation
3312,108982,original sin,tt6404166,Original Sin,Original Sin,2018,75.0,Comedy,44,3-Aug-01,Original Sin,26000000,16521410,16521410,0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3313,109122,the express,tt6413518,The Express,The Express,2017,90.0,"Horror,Thriller",88,10-Oct-08,The Express,37500000,9793406,9813309,19903,,,,,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3314,109158,ten,tt6415838,Ten,Ten,2017,82.0,"Horror,Mystery,Thriller",51,21-Apr-15,Ten,25000,0,0,0,,,,,,,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
3315,109241,swimming pool,tt6419386,Swimming Pool,Swimming Pool,2011,,,50,4-Jul-03,Swimming Pool,7800000,10130108,24021282,13891174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3316,109260,inside out,tt6419446,Inside Out,Inside Out,2011,,,98,19-Jun-15,Inside Out,175000000,356461711,854235992,497774281,Inside Out,BV,356500000.0,501100000.0,2015.0,857600000.0,,,,,,,,,,,,,,,,,,,,,,
3317,109280,top hat,tt6419526,Top Hat,Top Hat,2010,,,6,6-Sep-35,Top Hat,609000,1782000,3202000,1420000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3318,109281,anonymous,tt6419530,Anonymous,Anonymous,2014,,,90,28-Oct-11,Anonymous,27500000,4463292,15815509,11352217,Anonymous,Sony,4500000.0,10900000.0,2011.0,15400000.0,,,,,,,,,,,,,,,,,,,,,,
3319,109302,home alone,tt6419610,Home Alone,Home Alone,2016,,,92,16-Nov-90,Home Alone,15000000,285761243,476684675,190923432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3320,109355,proud mary,tt6421110,Proud Mary,Proud Mary,2018,89.0,"Action,Crime,Drama",50,12-Jan-18,Proud Mary,30000000,20868638,21709539,840901,Proud Mary,SGem,20900000.0,876000.0,2018.0,21776000.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3321,109388,the sun is also a star,tt6423362,The Sun Is Also a Star,The Sun Is Also a Star,2019,100.0,"Drama,Romance",96,17-May-19,The Sun is Also a Star,9000000,4950029,5434029,484000,,,,,,,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
